og	file	ntax_header	nsites_header	n_labels	n_labels_in_metadata	n_labels_not_in_metadata	n_labels_not_in_metadata_unexpected	n_metadata_missing_from_og	status	error
OG10045	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10045.fa	349	438	349	347	2	0	5	OK	
OG10046	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10046.fa	350	507	350	348	2	0	4	OK	
OG10047	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10047.fa	349	489	349	347	2	0	5	OK	
OG10048	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10048.fa	351	426	351	349	2	0	3	OK	
OG10049	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10049.fa	353	534	353	351	2	0	1	OK	
OG1005	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1005.fa	352	3699	352	350	2	0	2	OK	
OG10050	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10050.fa	351	432	351	349	2	0	3	OK	
OG10051	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10051.fa	354	477	354	352	2	0	0	OK	
OG10052	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10052.fa	351	438	351	349	2	0	3	OK	
OG10053	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10053.fa	350	471	350	348	2	0	4	OK	
OG10054	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10054.fa	349	423	349	347	2	0	5	OK	
OG10055	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10055.fa	352	495	352	350	2	0	2	OK	
OG10056	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10056.fa	351	462	351	349	2	0	3	OK	
OG10057	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10057.fa	353	486	353	351	2	0	1	OK	
OG10058	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10058.fa	349	492	349	347	2	0	5	OK	
OG10059	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10059.fa	351	447	351	349	2	0	3	OK	
OG1006	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1006.fa	352	3789	352	350	2	0	2	OK	
OG10060	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10060.fa	351	462	351	349	2	0	3	OK	
OG10061	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10061.fa	349	522	349	347	2	0	5	OK	
OG10062	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10062.fa	350	471	350	348	2	0	4	OK	
OG10063	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10063.fa	351	441	351	349	2	0	3	OK	
OG10064	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10064.fa	351	450	351	349	2	0	3	OK	
OG10065	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10065.fa	349	444	349	347	2	0	5	OK	
OG10066	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10066.fa	350	429	350	348	2	0	4	OK	
OG10067	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10067.fa	351	432	351	349	2	0	3	OK	
OG10068	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10068.fa	352	471	352	350	2	0	2	OK	
OG10069	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10069.fa	352	525	352	350	2	0	2	OK	
OG1007	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1007.fa	350	3786	350	348	2	0	4	OK	
OG10070	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10070.fa	352	471	352	350	2	0	2	OK	
OG10071	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10071.fa	349	471	349	347	2	0	5	OK	
OG10072	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10072.fa	351	459	351	349	2	0	3	OK	
OG10073	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10073.fa	351	459	351	349	2	0	3	OK	
OG10074	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10074.fa	353	948	353	351	2	0	1	OK	
OG10075	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10075.fa	350	435	350	348	2	0	4	OK	
OG10076	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10076.fa	352	534	352	350	2	0	2	OK	
OG10077	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10077.fa	351	471	351	349	2	0	3	OK	
OG10078	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10078.fa	353	696	353	351	2	0	1	OK	
OG10079	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10079.fa	353	759	353	351	2	0	1	OK	
OG1008	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1008.fa	352	4101	352	350	2	0	2	OK	
OG10080	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10080.fa	353	441	353	351	2	0	1	OK	
OG10081	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10081.fa	349	501	349	347	2	0	5	OK	
OG10082	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10082.fa	352	435	352	350	2	0	2	OK	
OG10083	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10083.fa	350	438	350	348	2	0	4	OK	
OG10084	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10084.fa	350	498	350	348	2	0	4	OK	
OG10085	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10085.fa	351	441	351	349	2	0	3	OK	
OG10086	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10086.fa	352	429	352	350	2	0	2	OK	
OG10087	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10087.fa	352	462	352	350	2	0	2	OK	
OG10088	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10088.fa	352	429	352	350	2	0	2	OK	
OG10089	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10089.fa	351	597	351	349	2	0	3	OK	
OG1009	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1009.fa	350	3612	350	348	2	0	4	OK	
OG10090	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10090.fa	350	441	350	348	2	0	4	OK	
OG10091	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10091.fa	353	471	353	351	2	0	1	OK	
OG10092	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10092.fa	351	480	351	349	2	0	3	OK	
OG10093	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10093.fa	350	432	350	348	2	0	4	OK	
OG10094	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10094.fa	349	453	349	347	2	0	5	OK	
OG10095	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10095.fa	351	573	351	349	2	0	3	OK	
OG10096	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10096.fa	349	465	349	347	2	0	5	OK	
OG10097	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10097.fa	350	438	350	348	2	0	4	OK	
OG10098	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10098.fa	350	444	350	348	2	0	4	OK	
OG10099	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10099.fa	351	462	351	349	2	0	3	OK	
OG101	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG101.fa	352	9387	352	350	2	0	2	OK	
OG1010	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1010.fa	351	3789	351	349	2	0	3	OK	
OG10100	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10100.fa	352	495	352	350	2	0	2	OK	
OG10101	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10101.fa	350	621	350	348	2	0	4	OK	
OG10102	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10102.fa	350	504	350	348	2	0	4	OK	
OG10103	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10103.fa	354	645	354	352	2	0	0	OK	
OG10104	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10104.fa	352	591	352	350	2	0	2	OK	
OG10105	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10105.fa	353	894	353	351	2	0	1	OK	
OG10106	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10106.fa	353	693	353	351	2	0	1	OK	
OG10107	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10107.fa	354	786	354	352	2	0	0	OK	
OG10108	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10108.fa	353	522	353	351	2	0	1	OK	
OG10109	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10109.fa	352	756	352	350	2	0	2	OK	
OG1011	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1011.fa	351	3726	351	349	2	0	3	OK	
OG10110	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10110.fa	353	468	353	351	2	0	1	OK	
OG10111	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10111.fa	349	474	349	347	2	0	5	OK	
OG10112	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10112.fa	351	432	351	349	2	0	3	OK	
OG10113	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10113.fa	352	534	352	350	2	0	2	OK	
OG10114	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10114.fa	353	495	353	351	2	0	1	OK	
OG10115	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10115.fa	352	549	352	350	2	0	2	OK	
OG10116	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10116.fa	349	441	349	347	2	0	5	OK	
OG10117	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10117.fa	353	504	353	351	2	0	1	OK	
OG10118	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10118.fa	353	588	353	351	2	0	1	OK	
OG10119	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10119.fa	351	591	351	349	2	0	3	OK	
OG1012	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG1012.fa	351	3774	351	349	2	0	3	OK	
OG10120	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10120.fa	350	486	350	348	2	0	4	OK	
OG10121	C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/data/000_input_data/phy/OG10121.fa	352	480	352	350	2	0	2	OK	
